PID,POS,X,Y,AREA
9,1,-65.90494147,45.1959089,SPA6C
9,2,-65.90594986,45.1955925,SPA6C
9,3,-65.90605569,45.19555929,SPA6C
9,4,-65.90716572,45.195211,SPA6C
9,5,-65.94802411,45.18239093,SPA6C
9,6,-66.08460149,45.13953727,SPA6C
9,7,-66.22276768,45.09618509,SPA6C
9,8,-66.4493973,45.02507589,SPA6C
9,9,-66.49939867,45.02507576,SPA6C
9,10,-66.62329234,45.01229812,SPA6C
9,11,-66.71607266,44.9167439,SPA6C
9,12,-66.810522,44.91674455,SPA6C
9,13,-66.71718496,45.00535437,SPA6C
9,14,-66.79107748,45.00007684,SPA6C
9,15,-66.87802639,44.96674485,SPA6C
9,16,-66.86608166,44.94313391,SPA6C
9,17,-66.9157363,44.81431825,SPA6C
9,18,-66.9325833,44.82549998,SPA6C
9,19,-66.96530556,44.82886111,SPA6C
9,20,-66.97486111,44.84161111,SPA6C
9,21,-66.97477778,44.85097222,SPA6C
9,22,-66.98072222,44.86047222,SPA6C
9,23,-66.98213889,44.86725,SPA6C
9,24,-66.98,44.87744444,SPA6C
9,25,-66.97222222,44.89477778,SPA6C
9,26,-66.96872222,44.91038889,SPA6C
9,27,-66.99686111,44.92836111,SPA6C
9,28,-67.01,44.94475,SPA6C
9,29,-67.02166667,44.95391667,SPA6C
9,30,-67.09294379,45.07183357,SPA6C
9,31,-67.09455556,45.0745,SPA6C
9,32,-67.09522234,45.07591073,SPA6C
9,33,-67.11255556,45.11258333,SPA6C
9,34,-67.12877778,45.13227778,SPA6C
9,35,-67.14488889,45.14588889,SPA6C
9,36,-67.14834753,45.14990091,SPA6C
9,37,-67.14899663,45.15065387,SPA6C
9,38,-67.14925672,45.15095557,SPA6C
9,39,-67.15245683,45.15466769,SPA6C
9,40,-67.15384254,45.15627512,SPA6C
9,41,-67.15638177,45.15922063,SPA6C
9,42,-67.15707392,45.16002353,SPA6C
9,43,-67.15783664,45.16090827,SPA6C
9,44,-67.15849367,45.16167043,SPA6C
9,45,-67.15871316,45.16192504,SPA6C
9,46,-67.15875554,45.1619742,SPA6C
9,47,-67.15877778,45.162,SPA6C
9,48,-67.16786111,45.16466667,SPA6C
9,49,-67.1858844,45.16538847,SPA6C
9,50,-67.1907374,45.16558283,SPA6C
9,51,-67.19269444,45.16619444,SPA6C
9,52,-67.20280556,45.17136111,SPA6C
9,53,-67.20508333,45.17141667,SPA6C
9,54,-67.20861111,45.16933333,SPA6C
9,55,-67.21240556,45.16797069,SPA6C
9,56,-67.2165771,45.21120437,SPA6C
9,57,-67.18159903,45.24118558,SPA6C
9,58,-66.96142326,45.1910754,SPA6C
9,59,-66.78041294,45.14407515,SPA6C
9,60,-66.31739746,45.2070743,SPA6C
9,61,-66.09239208,45.27207421,SPA6C
9,62,-65.90838738,45.30007456,SPA6C
9,63,-65.90494147,45.1959089,SPA6C
